tweet link,clean text of tweet,Does this tweet contain covid-related stigmatizing language against the people of Asian-descent?,"If you identify the tweet talking about one or more of the topics below, please check them below (multiple answer possible)","If you have a comment, or want to add another related topic that is not listed in task 2, you can mention it here. Also, if the tweet is a duplicate, put ""duplicate"" here.",Labeller ID
https://twitter.com/edent/status/1244047961379737607,"Chinese markets are still selling bats—and dogs ; cats—to EAT. 😢 Have they learned nothing?(#COVID19?)
 

 These horrific, disgusting practices are barbaric—must be stopped! The world is paying the price. #zoonotic disease And animals deserve better. #vegan URL",stigmatizing - low,Wet market and eating habits,,7
https://twitter.com/edent/status/1244287601953177601,"It's disgusting and barbaric that in this day and age China are still eating dog, cat, bat, rat and everything else with it. Vile bastards 😡",stigmatizing - low,Wet market and eating habits,,7
https://twitter.com/edent/status/1244304479861665794,"Also don’t forget the poor animals including dogs and cats, and those wild animals captured illegally in China. Their abhorrent deaths for pleasure and meat are still active in China’s wet markets. When will it end? URL",not stigmatizing,Information or misinformation;Wet market and eating habits,,7
https://twitter.com/edent/status/1244135210494509061,"Chinese eats everything which moves. They eat dogs, bats, insects, scorpion, snakes, all wild animals. So, it's very hard to establish the origin of this virus. Some are suggesting it was bat. Bat consumption is widespread in Wuhan, the city where this epidemic found first.",not stigmatizing,Information or misinformation;Wet market and eating habits;Wuhan virus lab,,7
https://twitter.com/edent/status/1244162742132576256,"China and WHO is involved in cover up when this coronavirus breakout in China, China lied and WHO emboldened China lies. China is a virus to themselves and to the world. China eat all manner of rubbish ranging from rat, life puppy, frog, Human being, snakes, cocroches, bat etc",stigmatizing - medium,Chinese government (Chinese communist party - CCP);International politics;Wet market and eating habits,WHO,7
https://twitter.com/edent/status/1244167867572064261,"WILL CHINA EVER LEARN?
 Troubling scenes yesterday as China celebrated its 'victory' over the coronavirus.Terrified dogs and cats crammed into rusty cages. Bats and scorpions offered for sale as traditional medicine. Animals;reptiles are killed on a stone floor covered with filth. URL",not stigmatizing,Information or misinformation;Wet market and eating habits,,7
https://twitter.com/edent/status/1244173442619977730,Could it be the Chinese Communist Party having genetic engineers create this coronavirus at the Wuhan biological warfare lab? NO! I'll bet it is those in the Iranian Islamic state who also paid China to have enough fentanyl to kill 90%of the world sent to America. URL,not stigmatizing,Bio-weapon;Chinese government (Chinese communist party - CCP);Information or misinformation;International politics;Wuhan virus lab,,7
https://twitter.com/edent/status/1244368862436454400,"Fauci: U.S. Could Have 100k to 200k Deaths from Coronavirus
 

 Communist China; started COVID
 hid COVID and imprsoned doctors
 lied to the world about COVID
 tried to BLAME COVID on America
 threatened to kill Americans by witholding
 Communist China Must Pay Bigtime!",not stigmatizing,Chinese government (Chinese communist party - CCP);International politics,,7
https://twitter.com/edent/status/1244377024392724480,"COMMUNIST GOVERNMENT OF CHINA:
 

 STOP BLAMING THE UNITED STATES FOR YOUR SCREW UP REGARDING THE CORONAVIRUS!
 

 STOP KILLING, SELLING ; EATING EXOTIC ANIMALS!
 

 CATS, DOGS ; BATS TOO!",not stigmatizing,Chinese government (Chinese communist party - CCP);Wet market and eating habits,,7
https://twitter.com/edent/status/1244086618765635588,"Dear #China, At least now stop eating weird shit like snakes, bats, cats, dogs etc. These are lessons learnt from #COVID19 #coronavirus",stigmatizing - low,Wet market and eating habits,,7
