tweet id,clean text of tweet,Does this tweet contain covid-related stigmatizing language against the people of Asian-descent?,"If you identify the tweet talking about one or more of the topics below, please check them below (multiple answer possible)","If you have a comment, or want to add another related topic that is not listed in task 2, you can mention it here. Also, if the tweet is a duplicate, put ""duplicate"" here.",Labeller ID
https://twitter.com/edent/status/1244240695029911553,"I miss my #atlutd match day family... #5Stripes in #Atlanta bring the energy each ;  every match. 
 

 I know we’re all spaced out ;  #socialdistancing to avoid #coronavirus but I figured you needed an #ATL chant to get… URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1244379980634652676,This happened to ME and MY FAMILY. We were set to close April 9th. Both us and the seller of the home we were set to buy have been crushed financially. We called our local news station. #Zillow should be ashamed of themselves hiding behind the #coronavirus,not stigmatizing,Other,,17
https://twitter.com/edent/status/1246427051084537860,#Coronavirus..Ban wildlife trade..China,not stigmatizing,Other,,17
https://twitter.com/edent/status/1239157574441644033,I bet most of the cases happened because people are so selfish not to quarantine themselves after coming back from infected countries? 🤔 URL,not stigmatizing,Other,,17
https://twitter.com/edent/status/1238240240235622401,At the start of this decade we all said that we’ll get married and have kids by the end of this decade but I think we’ll all be dead by the time any of that happens... 💀 #CoronaOutbreak #lockdown #Covid_19,not stigmatizing,Other,,17
https://twitter.com/edent/status/1242885979389779969,"Last year, the Polish FM stated that #Poland was open to investment from #China as part of the China-Poland Intergovernmental Cooperation Committee:
 

 ✔️Manufacturing and innovative sectors
 ✖️Strategic infrastructure
 🔜 17+1 format
 

 Today re: #coronavirus #COVID19: URL",not stigmatizing,News,,17
https://twitter.com/edent/status/1240412108463972356,Why are  allowing people to sell necessities at ridiculous prices during a difficult time? Allowing them to rip people off!?? Disgraceful! #coronavirus #vulnerabilities #outoforder #Ebay,not stigmatizing,Other,,17
https://twitter.com/edent/status/1245624359344951296,"Recall... 
 We hope you delete this tweet. URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1249123462171561985,"All the foolish talk of reopening things is just that,...the talk of fools. Nothing will go back to “normal” until there’s a vaccine/cure...#COVID__19 #coronavirus #vaccine URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1238542266928713728,people can be such scared sheep😱. IMO panic uncalled for - its not the #BlackPlague w people dropping dead in the streets. Need to take reasonable precautions. #COVID19 is a more contagious flu strain but the same demographic at risk with common influenza is vulnerable here. URL,not stigmatizing,Other,,17
